marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,14615504,R1PUNTV6AFZPTG,B000JFO1TM,9955648,- Northern Industrial Tools 245-Pc. Rotary Tool Kit - RP2145CK,Tools,5,0,0,N,Y,Best tool purchase in a while.,I use this constantly. It does everything I want it to and a few things I didn't know a rotary tool could.,6/8/2015
US,47265633,R17G6MHXCGGK1L,B000JFO1TM,9955648,- Northern Industrial Tools 245-Pc. Rotary Tool Kit - RP2145CK,Tools,4,0,0,N,Y,Great buy for the price.,I've been using this tool kit for a few months now and it has worked wonderfully. It does what I need it to do. The only problem that I had was that the polishing wheels disintegrated almost instantly. And it better labelling of the individual bits and collets would have been nice. Doesn't seem to have all of the collets that you need.,4/10/2015
US,2446474,R18A77VMMV2O1O,B000JFO1TM,9955648,- Northern Industrial Tools 245-Pc. Rotary Tool Kit - RP2145CK,Tools,1,0,0,N,Y,p.o.s.,do not buy this kit it will break with minimal useage,2/26/2015
US,2379225,R1FJ9RP3O5A3MM,B000JFO1TM,9955648,- Northern Industrial Tools 245-Pc. Rotary Tool Kit - RP2145CK,Tools,5,0,0,N,Y,Five Stars,Better than my dremmel,2/3/2015
US,13732704,R5OHX4KNZJLKY,B000JFO1TM,9955648,- Northern Industrial Tools 245-Pc. Rotary Tool Kit - RP2145CK,Tools,5,0,0,N,Y,Five Stars,excellent,1/9/2015
US,32332813,R2Y4CSZYGQC4BC,B000JFO1TM,9955648,- Northern Industrial Tools 245-Pc. Rotary Tool Kit - RP2145CK,Tools,5,0,0,N,Y,Five Stars,Love this item would order from them again.,11/3/2014
US,23286871,RX07DKNRHXKCA,B000JFO1TM,9955648,- Northern Industrial Tools 245-Pc. Rotary Tool Kit - RP2145CK,Tools,5,0,0,N,N,Five Stars,"WOW this was a really great set, the small dremel is somewhat cheezy but it gets the job done!",9/4/2014
US,52882609,R1KJ39LD5U2JDK,B000JFO1TM,9955648,- Northern Industrial Tools 245-Pc. Rotary Tool Kit - RP2145CK,Tools,2,1,1,N,N,You get what you pay for and not a tool for a heavy user or someone that needs to change bits often,"Not sure how this gets so many great reviews. It's definitely a &#34;get what you pay for&#34; product. It does it's job OK in most instances but the motor does not have the power nor the longevity of a Dremel. If you need to do one little project this will be fine. No doubt Dremel is way overpriced, too. The bits alone make this worth the price. But here's the issues I've had:<br /><br />1) Original purchase had broken latches - replaced no problem at store<br />2) Original purchase had problem with mini tool, spun off center - replaced no problem at store<br />3) Claims that it works with all Dremel accessories - UNTRUE! - probably works with most bits but DOES NOT interchange with collects, flex shaft, or other attachments<br />4) LED light can not be used with flex shaft<br />5) Motor is underpowered and will bog down when drilling with an 1/8&#34; bit in soft plastic<br />6) Collets - changing them is horrible and they don't even have all the sizes needed to use all of the included accessories<br />7) Motor speed is inconsistent even when there is no load<br /><br />So, again, you get what you pay for. It's a lot of pieces for the price and will work great for a small project or two. But, if you need to change bits regularly then look elsewhere. And the handy Dremel screw chuck collect DOES NOT fit on here, nor do any other Dremel collects. This tool has a slightly larger diameter where the collect nut attaches both on the main tool and on the business end of the flex shaft. I've heard rumors of and adapter but have yet to find one.",8/5/2014
US,28633322,R2WK2KHY7W5Z9I,B000JFO1TM,9955648,- Northern Industrial Tools 245-Pc. Rotary Tool Kit - RP2145CK,Tools,5,0,0,N,Y,Five Stars,work great limited in some ways but great for house hold use and tinkering,7/1/2014
US,4932854,R1FONC572R57CE,B000JFO1TM,9955648,- Northern Industrial Tools 245-Pc. Rotary Tool Kit - RP2145CK,Tools,3,0,0,N,Y,Defective products,"Get things found inside the box is damaged, so I doubt if he is used, at least that sell goods stores do not carry out inspection, I feel a little disappointed.",4/8/2014
